locationId,location,iso3,timeLabel,sex,ageId,total_population,angels_0-4,angels_11-17,angels_18+,angels_5-10,angels_Total,angels_color
818,Egypt,EGY,2023,Both sexes,188,114535772,785.0,1062.0,4730.0,1058.0,7636.0,8.940629184845639
826,United Kingdom,GBR,2023,Both sexes,188,68682962,239.0,390.0,3619.0,330.0,4579.0,8.429235912657095
833,Isle of Man,IMN,2023,Both sexes,188,84166,0.0,0.0,5.0,0.0,6.0,1.791759469228055
834,United Republic of Tanzania,TZA,2023,Both sexes,188,66617606,721.0,729.0,2244.0,748.0,4441.0,8.398634855292102
840,United States of America,USA,2023,Both sexes,188,343477335,1243.0,2065.0,17958.0,1633.0,22898.0,10.038804849483757
850,United States Virgin Islands,VIR,2023,Both sexes,188,85701,0.0,0.0,5.0,0.0,6.0,1.791759469228055
854,Burkina Faso,BFA,2023,Both sexes,188,23025776,223.0,269.0,776.0,266.0,1535.0,7.336285660021297
858,Uruguay,URY,2023,Both sexes,188,3388080,12.0,22.0,174.0,18.0,226.0,5.420534999272286
860,Uzbekistan,UZB,2023,Both sexes,188,35652307,287.0,275.0,1532.0,282.0,2377.0,7.773594467360194
862,Venezuela (Bolivarian Republic of),VEN,2023,Both sexes,188,28300854,142.0,258.0,1282.0,205.0,1887.0,7.54274354536855
876,Wallis and Futuna Islands,WLF,2023,Both sexes,188,11370,0.0,0.0,1.0,0.0,1.0,0.0
882,Samoa,WSM,2023,Both sexes,188,216663,2.0,2.0,8.0,2.0,14.0,2.6390573296152584
887,Yemen,YEM,2023,Both sexes,188,39390799,420.0,407.0,1376.0,424.0,2626.0,7.873217054862741
894,Zambia,ZMB,2023,Both sexes,188,20723965,210.0,237.0,706.0,229.0,1382.0,7.231287004327616
